City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Afaahiti,-17.75,-149.2833,302.08,82,5,"{'speed': 8.71, 'deg': 314, 'gust': 10.36}",PF,1690236379
123,Pitimbu,-7.4706,-34.8086,297.48,82,5,"{'speed': 5.58, 'deg': 155, 'gust': 7.76}",BR,1690236313
124,Hawaiian Paradise Park,19.5933,-154.9731,300.88,88,100,"{'speed': 5.14, 'deg': 70}",US,1690236380
125,Palasa,18.7667,84.4167,299.5,89,85,"{'speed': 3.45, 'deg': 8, 'gust': 5.39}",IN,1690236380
126,Holstebro,56.3601,8.6161,288.15,89,96,"{'speed': 4.78, 'deg': 284, 'gust': 9.29}",DK,1690236326
127,Mirador,-6.3708,-44.3631,300.53,38,27,"{'speed': 1.68, 'deg': 129, 'gust': 1.67}",BR,1690236381
128,Dolores,-36.3132,-57.6792,279.07,77,87,"{'speed': 2.89, 'deg': 95, 'gust': 5.4}",AR,1690236382
129,Imaricho-Ko,33.2667,129.8833,301.38,84,0,"{'speed': 1.57, 'deg': 125, 'gust': 2.48}",JP,1690236382
130,Boca Do Acre,-8.7522,-67.3978,303.08,41,2,"{'speed': 0.76, 'deg': 34, 'gust': 0.75}",BR,1690236194
131,Minas De Marcona,-15.2119,-75.1103,288.33,70,0,"{'speed': 6.67, 'deg': 146, 'gust': 7.2}",PE,1690236384
132,Stanley,54.868,-1.6985,284.66,87,100,"{'speed': 1.08, 'deg': 201, 'gust': 1.52}",GB,1690236384
133,Yaren,-0.5472,166.916,301.28,77,52,"{'speed': 4.04, 'deg': 115, 'gust': 4.42}",NR,1690236385
134,Bandarbeyla,9.4942,50.8122,297.98,73,80,"{'speed': 13.78, 'deg': 205, 'gust': 21.73}",SO,1690236386
135,Margate,51.3813,1.3862,288.65,80,98,"{'speed': 2.68, 'deg': 2, 'gust': 4.47}",GB,1690236352
136,St. John'S,47.5649,-52.7093,298.81,78,20,"{'speed': 7.72, 'deg': 270}",CA,1690236387
137,Paracuru,-3.41,-39.0306,299.88,83,7,"{'speed': 7.01, 'deg': 97, 'gust': 12.05}",BR,1690236388
138,Arno,60.1167,18.6333,287.49,89,26,"{'speed': 4.27, 'deg': 136, 'gust': 8.02}",SE,1690236389
139,Thompson,55.7435,-97.8558,301.24,32,20,"{'speed': 3.6, 'deg': 250, 'gust': 7.72}",CA,1690236097
140,Palikir - National Government Center,6.9248,158.1611,301.62,94,100,"{'speed': 2.57, 'deg': 180}",FM,1690236390
141,Tongliao,43.6125,122.2653,294.92,75,83,"{'speed': 1.53, 'deg': 194, 'gust': 1.66}",CN,1690236365
142,Toliara,-23.35,43.6667,291.57,80,4,"{'speed': 1.85, 'deg': 167, 'gust': 3.12}",MG,1690236223
143,West Island,-12.1568,96.8225,298.14,73,75,"{'speed': 8.23, 'deg': 140}",CC,1690236392
144,Lagunas,-5.2269,-75.6753,301.15,68,94,"{'speed': 0.71, 'deg': 15, 'gust': 0.9}",PE,1690236392
145,Cova Figueira,14.8905,-24.2934,296.29,84,100,"{'speed': 6.15, 'deg': 41, 'gust': 5.66}",CV,1690236393
146,Tamala,52.541,43.2515,287.25,81,39,"{'speed': 2.55, 'deg': 251, 'gust': 2.62}",RU,1690236393
147,Kodiak,57.79,-152.4072,287.88,67,100,"{'speed': 5.14, 'deg': 130}",US,1690236394
148,Touros,-5.1989,-35.4608,298.03,80,12,"{'speed': 7.17, 'deg': 148, 'gust': 11.67}",BR,1690236394
149,Gizo,-8.103,156.8419,299.48,85,100,"{'speed': 7.3, 'deg': 148, 'gust': 8.58}",SB,1690236395
150,Bilibino,68.0546,166.4372,283.64,89,100,"{'speed': 0.34, 'deg': 77, 'gust': 0.52}",RU,1690236395
151,Kinel',53.2333,50.65,291.73,71,34,"{'speed': 1.86, 'deg': 328, 'gust': 1.9}",RU,1690236396
152,Sampit,-2.5333,112.95,295.38,99,62,"{'speed': 1.27, 'deg': 111, 'gust': 8.1}",ID,1690236396
153,Geraldton,-28.7667,114.6,284.38,58,38,"{'speed': 6.69, 'deg': 30}",AU,1690236397
154,Tazovsky,67.4667,78.7,286.92,94,57,"{'speed': 2.64, 'deg': 90, 'gust': 2.7}",RU,1690236260
155,Nushki,29.5542,66.0215,301.19,58,100,"{'speed': 0.39, 'deg': 244, 'gust': 0.46}",PK,1690236398
156,Villa Castelli,40.5845,17.4746,301.03,72,1,"{'speed': 3.21, 'deg': 216, 'gust': 5.34}",IT,1690236399
157,Camalu,30.85,-116.0667,299.67,56,5,"{'speed': 3.99, 'deg': 291, 'gust': 3.96}",MX,1690236400
158,Vila Franca Do Campo,37.7167,-25.4333,296.38,83,57,"{'speed': 1.5, 'deg': 330, 'gust': 2.5}",PT,1690236400
159,Sinabang,2.4803,96.3801,299.4,80,16,"{'speed': 0.49, 'deg': 17, 'gust': 0.66}",ID,1690236401
160,Flying Fish Cove,-10.4217,105.6791,296.97,88,75,"{'speed': 4.63, 'deg': 110}",CX,1690236401
161,Brookings,44.3114,-96.7984,306.03,41,0,"{'speed': 4.12, 'deg': 140}",US,1690236379
162,Namtsy,62.7161,129.6658,296.5,58,39,"{'speed': 1.77, 'deg': 291, 'gust': 3.45}",RU,1690236403
163,Kapuskasing,49.4169,-82.4331,296.2,43,75,"{'speed': 2.06, 'deg': 240}",CA,1690236183
164,Rongelap,11.1635,166.8941,301.88,74,89,"{'speed': 8.13, 'deg': 85, 'gust': 9.22}",MH,1690236404
165,Bejar,40.3864,-5.7634,288.36,49,1,"{'speed': 1.78, 'deg': 20, 'gust': 2.52}",ES,1690236404
166,Xilin Hot,43.9667,116.0333,291.43,57,1,"{'speed': 2.03, 'deg': 169, 'gust': 2.03}",CN,1690236405
167,Inhambane,-23.865,35.3833,294.14,80,94,"{'speed': 7.24, 'deg': 163, 'gust': 10.21}",MZ,1690236406
168,Champerico,14.3,-91.9167,303.19,65,99,"{'speed': 2.55, 'deg': 229, 'gust': 2.1}",GT,1690236406
169,Usinsk,65.9939,57.5281,286.99,82,21,"{'speed': 2.95, 'deg': 167, 'gust': 3.03}",RU,1690236407
170,Posse,-14.0931,-46.3694,296.62,47,100,"{'speed': 4.8, 'deg': 109, 'gust': 8.96}",BR,1690236332
171,Cannonvale,-20.2833,148.7,289.81,86,61,"{'speed': 2.95, 'deg': 170, 'gust': 5.77}",AU,1690236409
172,York,40.1254,-77.0,301.7,52,0,"{'speed': 2.06, 'deg': 180}",US,1690236409
173,Miri,4.4148,114.0089,297.55,94,100,"{'speed': 2.46, 'deg': 153, 'gust': 3.4}",MY,1690236410
174,Hamilton,39.1834,-84.5333,303.85,62,48,"{'speed': 2.71, 'deg': 263, 'gust': 6.4}",US,1690236387
175,Katsuura,35.1333,140.3,299.29,84,16,"{'speed': 3.25, 'deg': 215, 'gust': 4.62}",JP,1690236411
176,Kasama,-10.2129,31.1808,287.66,58,0,"{'speed': 2.32, 'deg': 103, 'gust': 5.14}",ZM,1690236412
177,Oruro,-17.9833,-67.15,285.36,8,0,"{'speed': 3.59, 'deg': 233, 'gust': 3.84}",BO,1690236412
178,Hazard,37.2495,-83.1932,304.98,41,59,"{'speed': 0.66, 'deg': 183, 'gust': 2.17}",US,1690236413
179,Claveria,18.6074,121.0832,300.49,88,100,"{'speed': 7.01, 'deg': 16, 'gust': 11.13}",PH,1690236413
180,Westport,41.1415,-73.3579,303.12,57,0,"{'speed': 4.63, 'deg': 190}",US,1690236412
181,Lakeview,42.432,-75.8655,295.26,96,72,"{'speed': 0.89, 'deg': 0, 'gust': 2.24}",US,1690236415
182,Lata,40.1629,-8.3327,287.07,98,10,"{'speed': 1.53, 'deg': 315, 'gust': 4.71}",PT,1690236415
183,Constantia,44.1833,28.65,295.76,73,0,"{'speed': 7.7, 'deg': 200, 'gust': 12.76}",RO,1690236416
184,Ta`U,-14.2336,-169.5144,299.37,70,97,"{'speed': 5.34, 'deg': 161, 'gust': 5.23}",AS,1690236416
185,Kewanee,41.2456,-89.9248,304.14,36,3,"{'speed': 1.83, 'deg': 139, 'gust': 2.16}",US,1690236417
186,Hargeysa,9.56,44.065,296.91,49,100,"{'speed': 11.64, 'deg': 219, 'gust': 16.13}",SO,1690236261
187,Biloela,-24.4167,150.5,288.61,79,52,"{'speed': 7.67, 'deg': 121, 'gust': 14.74}",AU,1690236418
188,Kintinku,-5.8833,35.2333,294.4,57,1,"{'speed': 1.93, 'deg': 78, 'gust': 4.3}",TZ,1690236418
189,Merizo Village,13.2658,144.6691,301.47,89,100,"{'speed': 5.47, 'deg': 85, 'gust': 6.57}",GU,1690236419
190,Tura,25.5198,90.2201,296.7,96,99,"{'speed': 2.59, 'deg': 143, 'gust': 6.02}",IN,1690236420
191,South Hedland,-20.4089,118.5983,286.11,35,0,"{'speed': 5.66, 'deg': 110}",AU,1690236420
192,Farrukhnagar,17.0778,78.2011,295.99,95,100,"{'speed': 8.37, 'deg': 274, 'gust': 15.45}",IN,1690236421
193,Boa Vista,2.8197,-60.6733,303.14,66,40,"{'speed': 2.06, 'deg': 330}",BR,1690236184
194,Port Lincoln,-34.7333,135.8667,285.27,76,76,"{'speed': 4.04, 'deg': 44, 'gust': 4.89}",AU,1690236422
195,La Quiaca,-22.1024,-65.593,286.18,6,28,"{'speed': 2.48, 'deg': 240, 'gust': 3.52}",AR,1690236423
196,Caleta De Carquin,-11.0925,-77.6267,294.29,75,11,"{'speed': 5.38, 'deg': 177, 'gust': 5.23}",PE,1690236423
197,Poso,-1.3959,120.7524,297.3,81,17,"{'speed': 2.05, 'deg': 190, 'gust': 2.55}",ID,1690236424
198,Oulad Teima,30.3947,-9.209,293.75,75,0,"{'speed': 1.27, 'deg': 246, 'gust': 1.92}",MA,1690236424
199,Tralee,52.2704,-9.7026,284.85,88,82,"{'speed': 2.07, 'deg': 301, 'gust': 2.27}",IE,1690236425
200,Udachny,66.4167,112.4,288.42,76,18,"{'speed': 2.13, 'deg': 123, 'gust': 3.13}",RU,1690236425
201,Pemangkat,1.1667,108.9667,298.61,87,99,"{'speed': 3.48, 'deg': 166, 'gust': 5.38}",ID,1690236426
202,Katsuren-Haebaru,26.3369,127.8719,302.36,79,40,"{'speed': 3.6, 'deg': 100}",JP,1690236427
203,Todos Santos,23.45,-110.2167,309.84,80,69,"{'speed': 0.89, 'deg': 229, 'gust': 1.59}",MX,1690236427
204,Caracal,44.1167,24.35,297.67,41,3,"{'speed': 1.26, 'deg': 142, 'gust': 1.31}",RO,1690236428
205,Bubaque,11.2833,-15.8333,300.66,79,100,"{'speed': 5.1, 'deg': 227, 'gust': 5.3}",GW,1690236428
206,Hawera,-39.5917,174.2833,286.61,86,13,"{'speed': 6.3, 'deg': 275, 'gust': 10.2}",NZ,1690236429
207,Utica,43.1009,-75.2327,298.53,93,55,"{'speed': 2.29, 'deg': 206, 'gust': 5.82}",US,1690236429
208,Ciudad General Teran,25.2667,-99.6833,305.31,45,74,"{'speed': 8.89, 'deg': 127, 'gust': 9.71}",MX,1690236430
209,Chela,34.069,104.4619,285.8,92,100,"{'speed': 1.09, 'deg': 299, 'gust': 1.2}",CN,1690236431
210,Zeya,53.75,127.2667,290.2,95,100,"{'speed': 2.65, 'deg': 15, 'gust': 6.76}",RU,1690236431
211,Fort Bragg,35.139,-79.006,306.18,64,0,"{'speed': 2.06, 'deg': 180}",US,1690236432
212,Powell River,49.8496,-124.5361,290.0,94,100,"{'speed': 6.69, 'deg': 110, 'gust': 11.83}",CA,1690236433
213,Isafjordur,66.0755,-23.124,283.0,94,100,"{'speed': 2.6, 'deg': 103, 'gust': 2.77}",IS,1690236433
214,Luwingu,-10.2621,29.9271,287.12,52,0,"{'speed': 1.51, 'deg': 61, 'gust': 1.75}",ZM,1690236434
215,Port Macquarie,-31.4333,152.9167,283.09,87,22,"{'speed': 3.72, 'deg': 233, 'gust': 6.45}",AU,1690236435
216,Nizhnesortymskiy,62.4397,71.7603,291.47,76,100,"{'speed': 3.6, 'deg': 34, 'gust': 4.4}",RU,1690236435
217,El Granada,37.5027,-122.4694,303.6,67,20,"{'speed': 7.72, 'deg': 290}",US,1690236436
218,Xo'Jaobod,40.666,72.5682,299.58,33,9,"{'speed': 2.81, 'deg': 118, 'gust': 2.98}",UZ,1690236437
219,San Sebastian De La Gomera,28.0916,-17.1133,297.35,73,20,"{'speed': 2.06, 'deg': 230}",ES,1690236438
